hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
18, 900.00000, 699.754, 916.071, 687.811, 826.339, 800.932, 677.74
18, 1800.00000, 697.252, 915.464, 691.289, 830.44, 803.871, 679.742
18, 2700.00000, 1629.85, 953.855, 1340.69, 905.736, 1453.44, 696.466
19, 0.00000, 1678.61, 981.725, 1387.56, 937.39, 1506.94, 718.241
19, 900.00000, 1639.43, 961.562, 1360.05, 920.647, 1477.72, 704.506
19, 1800.00000, 1919.16, 990.433, 1543.47, 961.561, 1663.48, 722.96
19, 2700.00000, 1978.25, 1026.34, 1586.75, 988.91, 1716.93, 744.782
20, 0.00000, 1939.86, 1002.43, 1555.93, 969.678, 1678.49, 729.527
20, 900.00000, 2013.62, 1048.45, 1611.25, 1007.12, 1749.09, 756.494
20, 1800.00000, 1943.88, 1005.29, 1556.22, 972.249, 1681.63, 728.521
20, 2700.00000, 1982.07, 1019.93, 1587.68, 982.606, 1716.86, 737.608
21, 0.00000, 2060.48, 1059.02, 1645.4, 1020.6, 1775.07, 766.478
21, 900.00000, 1979.55, 1012.71, 1572.7, 969.753, 1696.92, 728.485
21, 1800.00000, 1950.7, 1000.98, 1543.14, 958.893, 1662.78, 719.65
21, 2700.00000, 1945.48, 1000.35, 1541.61, 955.912, 1663.77, 719.263
22, 0.00000, 1879.32, 962.213, 1484.18, 920.267, 1597.87, 691.151
22, 900.00000, 1903.28, 974.429, 1510.41, 938.582, 1624.4, 703.635
22, 1800.00000, 1908.65, 978.382, 1519.45, 944.539, 1634.7, 708.258
22, 2700.00000, 1820.98, 950.239, 1427.35, 908.695, 1539.75, 680.909
23, 0.00000, 1850.42, 967.473, 1441.11, 919.04, 1558.11, 687.918
23, 900.00000, 1778.87, 929.222, 1382.1, 882.248, 1493.32, 659.74
23, 1800.00000, 1877.96, 948.14, 1474.26, 902.776, 1588.34, 672.809
23, 2700.00000, 1835.45, 925.745, 1435.88, 876.809, 1546.68, 655.152
24, 0.00000, 1849.25, 934.278, 1447.51, 886.252, 1561.22, 660.428
24, 900.00000, 1789.63, 903.529, 1407.57, 864.329, 1519.02, 639.913
